urun_id,urun_adi,fiyat,foto_link,yorum_ozeti,ortalama_star_puani,5star,4star,3star,2star,1star
HBV00000MMC78,Erdem Oyuncak Bugatti Chiron Şarjlı 1:12 Uzaktan Kumandalı Araba ER-BG10,"1.149,90 TL",https://productimages.hepsiburada.net/s/35/424-600/10471183155250.jpg,"Bugatti Chiron Şarjlı Uzaktan Kumandalı Araba, kullanıcılar tarafından sağlam ve kaliteli yapısıyla övgü alıyor. Kapı ve bagajın uzaktan kumandayla açılıp kapanma özelliği, çocuklar için eğlenceli bir deneyim sunuyor. Şarjlı olması, ekstra pil ihtiyacını ortadan kaldırıyor ve uzun süreli kullanım sağlıyor. Fiyat performans açısından oldukça tatmin edici bir ürün. Ancak, bataryanın gücü biraz düşük olduğu için şarj süresi kısa kalabiliyor. Ayrıca, halıda kullanımda zorlanabilir. Genel olarak, kullanıcılar tarafından tavsiye edilen bir oyuncak.",4.1,902,258,154,65,181
HBC00000090RV,morfose Mılk Therapy Çift Fazlı Fön Sütü 400 ml,"199,90 TL",https://productimages.hepsiburada.net/s/356/424-600/110000369925123.jpg,"Morfose Milk Therapy Çift Fazlı Fön Sütü, kullanıcılar tarafından genellikle olumlu değerlendirmeler almıştır. Ürün, saçı yumuşatması ve kolay taranmasını sağlamasıyla öne çıkıyor. Ayrıca, ısıya karşı koruma sağlaması ve hoş kokusuyla dikkat çekiyor. Bununla birlikte, bazı kullanıcılar ürünün kokusunun fazla yoğun olabileceğini belirtmiştir. Ürünün saçı yağlandırabileceği de nadiren dile getirilmiştir. Genel olarak, ürün performansı fiyatını hak ediyor ve kullanıcılar tarafından öneriliyor.",4.5,966,150,72,20,62
HBV00000JBO51,Sinoz Spf 50 Leke Karşıtı Yüksek Koruyucu Yüz Güneş Kremi 50 ml Normal Ve Kuru Ciltler Için,"389,00 TL",https://productimages.hepsiburada.net/s/777/424-600/110000997177189.jpg,"Sinoz SPF 50+ Yüz Güneş Kremi, ciltte hızlı emilimi ve su bazlı formülü ile kullanıcılar tarafından beğenilmektedir. Ürün, ciltte beyazlık ve yağlı his bırakmadan etkili bir koruma sağlıyor. Ayrıca, sivilce yapmaması ve leke oluşumunu engellemesi de olumlu özellikleri arasında. Kullanıcılar, fiyat-performans açısından ürünü değerli buluyor. Ancak, bazı kullanıcılar ürünün dağılmasının zor olduğunu belirtmiştir. Genel olarak, kullanıcılar Sinoz güneş kremini tavsiye ediyor ve düzenli kullanımdan memnun kalıyorlar.",4.4,1809,422,193,55,115
HBV000001R06P,Tx Red Alert 6 Fanlı Oyuncu Notebook Soğutucu (TXACNBRED),"709,00 TL",https://images.hepsiburada.net/banners/1/gaming1200x120_20250521132656_20250521132656.jpeg,"Tx Red Alert 6 Fanlı Oyuncu Notebook Soğutucu, sessiz çalışması ve çoklu fan hızı ayarları ile kullanıcılar tarafından beğeniliyor. Ürün, oyun sırasında 5-10 dereceye kadar sıcaklık düşüşü sağlayabiliyor ve geniş yapısıyla konfor sunuyor. Ancak bazı kullanıcılar malzeme kalitesinin düşük olduğunu ve soğutma performansının yetersiz kaldığını belirtiyor. Ürün, fiyatına göre performans sunuyor fakat daha kaliteli alternatifler düşünenler için tavsiye edilmiyor.",4.2,795,283,171,58,98
HBV0000018X06,Diytoy Hayvanlar 2 ve 3 Parçalı Okul Öncesi Tamamlama Kartları,"97,50 TL",https://productimages.hepsiburada.net/s/25/424-600/10134721495090.jpg,"Diytoy Hayvanlar Tamamlama Kartları, çocuklar için eğitici ve eğlenceli bir oyun sunuyor. Kalın ve sağlam kartlar, çocukların kolaylıkla tutabileceği boyutlarda. Renkleri canlı ve dikkat çekici. Hayvanları tanıma ve parça-bütün ilişkisini öğrenme konusunda oldukça faydalı. Kullanıcılar, ürünün fiyat performans oranını ideal buluyor. Ancak, bazı kullanıcılar yapboz parçalarının sabit kalmamasından dolayı zorlandıklarını belirtiyor. Genellikle 2-3 yaş arası çocuklar için uygun olan bu kartlar, çocukların motor becerilerini geliştirmelerine yardımcı oluyor.",4.6,1806,302,149,34,61
HBV00000NHSKB,PSGT USB 3.0 Erkek To Type C 3.1 Dişi Çevirici Şarj ve Data Aparatı,"129,00 TL",https://images.hepsiburada.net/banners/1/gaming1200x120_20250521132656_20250521132656.jpeg,"PSGT USB 3.0 Erkek To Type C 3.1 Dişi Çevirici, hızlı şarj ve veri transferi yetenekleriyle kullanıcılar tarafından beğeniliyor. Ürün, Samsung ve Apple cihazlarla uyumlu çalışarak, şarj ve veri aktarımında sorun yaşatmıyor. Metal gövdesi sayesinde dayanıklılık sunuyor. Kullanıcılar, hem araçta hem de evde pratik kullanım sağladığını belirtiyor. Ancak bazı kullanıcılar, ürünün görseldeki ile aynı olmadığını ve hızlı şarj performansının bekleneni karşılamadığını ifade ediyor. Genel olarak, fiyat performans açısından tavsiye edilen bir ürün.",4.3,1550,252,134,52,190
HBCV000027GFHQ,Molfix Bebek Bezi 5 Beden Ultra Fırsat Paketi 78X2 156 Adet,"786,99 TL",https://productimages.hepsiburada.net/s/218/424-600/110000196818742.jpg,"Molfix Bebek Bezi, kullanıcılar tarafından emiciliği ve cilt dostu yapısıyla öne çıkıyor. Ürün, sızdırma yapmaması ve bebeklerin hassas cildine uygun olmasıyla beğeniliyor. Kullanıcılar, uzun süreli kullanımda dahi rahatlık sağladığını belirtiyor. Ancak, bazı kullanıcılar ürünün kalitesinde düşüş yaşandığını ve bel lastiklerinin yetersiz olduğunu belirtmiş. Fiyat performans açısından genel olarak olumlu yorumlar alan Molfix, kullanıcılara tavsiye ediliyor.",4.8,1793,157,40,15,62
HBC0000504O50,Bayer MaxForce Hamamböceği Jeli 5 gr,"170,00 TL",https://productimages.hepsiburada.net/s/28/424-600/10236520792114.jpg,"Bayer MaxForce Hamamböceği Jeli, kullanıcılar tarafından etkili bir çözüm olarak övgüyle karşılanıyor. Ürün, hamamböceklerini kısa sürede yok ederek kalıcı bir çözüm sunuyor. Kullanıcılar, jel formunun kolay uygulanabilir olduğunu ve kokusuz yapısıyla rahatsızlık vermediğini belirtiyor. Ürünün fiyatının performansını karşıladığı ifade ediliyor. Ancak, bazı kullanıcılar başlangıçta etkisinin hemen görülmediğini belirtiyor. Genel olarak, ürünün etkili ve ekonomik bir çözüm sunduğu, böcek sorunu yaşayanlar için tavsiye edildiği vurgulanıyor.",4.5,797,112,55,26,55
HBV000019QV53,Tefal G25939 Titanyum 6X UnlimitedOne Krep Tavası 28 cm - 2100116326,"1.839,00 TL",https://productimages.hepsiburada.net/s/55/424-600/11223880433714.jpg,"Tefal G25939 Titanyum 6X Krep Tavası, kullanıcılar tarafından kalitesi ve dayanıklılığı ile övgü alıyor. Ürün, ısıyı eşit dağıtması ve yapışmaz yüzeyi sayesinde mükemmel krepler yapma imkanı sunuyor. Kullanıcılar, tavanın sağlam yapısını ve uzun ömürlü kullanımını vurgularken, bazıları ağırlığını dezavantaj olarak görüyor. Büyük boyutunun günlük kullanımda biraz fazla gelebileceği belirtiliyor. Ancak, performansı ve kalitesi fiyatını hak ediyor. Kullanıcılar, bu tavanın mutfakta vazgeçilmez bir araç olduğunu belirtiyor.",4.8,1119,73,19,11,42
HBV00000LZ4D1,Dyson Cinetic Big Ball Absolute 2 Elektrikli Süpürge,"15.999,00 TL",https://productimages.hepsiburada.net/s/777/424-600/110001010680983.jpg,"Dyson Cinetic Big Ball Absolute 2 Elektrikli Süpürge, güçlü çekim gücü ve kullanışlı aparatları ile dikkat çekiyor. Kullanıcılar, ürünün temizlik performansından çok memnun, özellikle halı ve toz temizliğinde etkili olduğunu belirtiyorlar. Süpürgenin dayanıklılığı ve uzun ömürlü olması da öne çıkan özelliklerinden. Ancak, bazı kullanıcılar başlıkların halıya yapışması ve teleskopik borunun kalitesinin beklenenin altında olması gibi sorunlar yaşadıklarını ifade ediyorlar. Yine de genel olarak, ürünün fiyatını hak ettiği ve yüksek performans sunduğu belirtiliyor.",4.7,3055,244,85,32,103
